name,main_city,jurisdiction,population,latitude,longitude,ba_distance,feb_precip_mm,feb_rainy_days_rate,feb_very_rainy_days_rate,feb_p5_temp_c,feb_p50_temp_c,feb_p95_temp_c,feb_avg_wind_speed_ms,feb_p95_wind_speed_ms,feb_windy_days_rate,feb_very_windy_days_rate,feb_wind_gust_days_rate
Gran Buenos Aires,Buenos Aires,Ciudad Autónoma de Buenos Aires-Buenos Aires,16224751,-34.5843925,-58.3979664,5.21181500872479,2.81099215303764,0.20077572658443413,0.1523897216008424,8.495364671914514,17.666707747543512,26.362407229279498,3.4429551909174085,6.194919176172666,0.11128133712309593,0.012099582149032515,0.0013156581676173247
Gran Córdoba,Córdoba,Córdoba,1705741,-31.4166867,-64.1834193,643.3620208324105,1.925155499524382,0.14736471200020979,0.10902296597650524,6.306751458023348,16.387356682965255,24.455050802306562,2.011139284943606,3.986415990776947,0.0050364580849820585,0.0,0.0
Gran Rosario,Rosario,Santa Fe,1429292,-32.9593609,-60.6617024,276.07063225637285,2.73535587541237,0.17978212602857208,0.14277722271180984,8.34079393538901,18.48004550898783,27.042275092969682,2.7409736510937623,4.898745338827998,0.02345766203090845,0.00013314001117239451,0.0
Gran Mendoza,Mendoza,Mendoza,1056893,-32.8894155,-68.8446177,982.5309161109168,0.6115977777074822,0.09700270983599345,0.04406270788779693,-0.3193837396773191,10.869789154536367,20.305058495790036,1.2382144912878519,2.8042578540641068,0.003299825132236611,3.577536633557515e-05,0.0
Gran San Miguel de Tucumán,San Miguel de Tucumán,Tucumán,1052194,-26.8303703,-65.2038133,1078.769119231046,2.7114046927635913,0.16191142976379266,0.12952124895742212,7.943388586593864,17.503935325317947,24.60716036524194,0.9153588819540569,1.9262429625936313,1.0038494674578575e-05,0.0,0.0
Gran La Plata,La Plata,Buenos Aires,919154,-34.9206797,-57.9537638,55.67296358387516,2.736125189392138,0.20204943751895518,0.14968674049780464,8.68080680190286,17.40287249581493,25.899960949942674,3.821583555315504,6.908884348012842,0.17164611786227407,0.02408595141275908,0.00291393669250541
Gran Salta,Salta,Salta,671015,-24.7892946,-65.4103194,1280.5228676861327,2.0454657450187854,0.14801180354666438,0.11597523439671927,6.0768347139921906,14.235161784168755,19.840685259230085,0.8959907766800106,1.701692049914833,0.0,0.0,0.0
Mar del Plata,Mar del Plata,Buenos Aires,644234,-37.9976168,-57.5482079,383.4990250665968,2.566607597971773,0.22441596916042925,0.1574374408274596,6.952234002112951,14.304603517220707,22.771356402985006,4.353749035542504,7.872129108067758,0.2727894490714636,0.05680237618728287,0.01158911774644587
Gran San Juan,San Juan,San Juan,546613,-31.5370909,-68.5251802,1001.2864160579923,0.3561530985415594,0.0736015685409187,0.023376439141998998,3.666840741316297,14.82743009237065,24.135330760468474,1.41440177324465,3.1863856882006734,0.004809774374027572,1.7102299453631003e-05,0.0
Gran Santa Fe,Santa Fe,Santa Fe,530027,-31.6186951,-60.7019561,393.9745182415194,2.8265950058713605,0.17179412078224243,0.14153480287520542,9.00542134048091,19.354328265776548,27.64621763573905,2.8260482261313364,5.075533025263533,0.02910023807106026,0.0,0.0
Neuquén-Plottier-Cipolletti,Neuquén,Neuquén,500336,-38.9519679,-68.0591741,983.5175468949648,0.35072117850166745,0.10480794433382036,0.012379213263106656,4.909361063188864,15.169837165749678,26.478921400561028,3.363299647411678,6.861169170943031,0.1402172382199358,0.012259969810183851,0.0003946549786886312
Santiago del Estero-La Banda,Santiago del Estero,Santiago del Estero,449688,-27.7877148,-64.2595062,938.2622372716534,1.8790694279572322,0.12805152377500664,0.09695489724843101,11.771219958354278,22.419545281150217,31.100523350281907,2.5587049117820646,4.7571292869574195,0.019525728778386098,0.0,0.0
Gran Corrientes,Corrientes,Corrientes,427531,-27.5246619,-58.7662564,787.007190033058,3.675941504157691,0.18982489981614786,0.16787700671798828,11.48096874440764,22.316949887109846,29.611692750962305,3.0719481796560255,5.481916393672362,0.04890171780939136,0.000246439645974368,0.0
Gran Resistencia,Resistencia,Chaco,407618,-27.6048829,-59.1932003,780.8156654951244,3.5127437708077998,0.18271851173149425,0.16138493898453127,11.1758564293002,22.21468391090747,29.73500537996174,3.0448883195434284,5.401605044981976,0.04398175801113892,0.0002635035478687106,0.0
Gran Posadas,Posadas,Misiones,389070,-27.3664824,-55.894295,839.73492067125,5.09174157076851,0.23668569621925772,0.211222063204835,12.159204518712624,22.419336819142753,28.797040897108964,2.769603293355701,4.956531319958979,0.033161045348503324,0.000359803900268407,0.0
Gran San Salvador de Jujuy,San Salvador de Jujuy,Jujuy,375794,-24.1852569,-65.2994789,1333.450521501109,2.3102824408854308,0.1672733516619828,0.13188337642444076,5.236959017141174,12.525270784095502,17.561938332595638,0.8068741725648547,1.7818590553248665,0.000554193757891089,3.574466435154332e-05,0.0
